标题,房屋属性,面积,所在楼层(总楼层),朝向,建造年份,小区名称,地址,附近交通,总价格,平均价格
老业主委托 有钥匙 店长力荐 海伦路地铁口 几年出一套 真香,2室2厅,104.28O,低层（共14层）,南向,2003年建,天星公寓,临平路-天水路69弄,距4号线海伦路站约285米,1090万,104526元/O
艺泰一品花园 105平2居 南北向精装修,2室2厅,105.31O,中层（共11层）,南北向,2017年建,艺泰一品花园,惠南-人民西路1533弄, ,330万,31336元/O
好房子好房子好房子! 南北向精装修 视野无遮挡 紧邻金桥公园,2室1厅,60.66O,高层（共6层）,南北向,1994年建,金巷小区,金桥-金巷小区,距9号线台儿庄路站约684米,350万,57698元/O
彩虹雅苑 82平2居 南北向精装修,2室2厅,82.71O,中层（共5层）,南北向,2008年建,彩虹雅苑,惠南-听悦路685弄、听悦路686弄, ,235万,28412元/O
!!!只做甄房源(专售大宁城)高区采光正看小区花园(满五),2室2厅,97.54O,中层（共32层）,南北向,2012年建,上海滩大宁城,大宁-上海滩大宁城,距1号线中山北路站约321米,1010万,103547元/O
"南北通透,底楼房,一楼送花园,中式风格",3室2厅,150.1O,低层（共30层）,南向,2007年建,仁恒河滨城二期,联洋-丁香路1399弄,距9号线芳甸路站约842米,2230万,148567元/O
"二即可到达地铁口的 3室2厅精装修拎包入住,无税",3室2厅,131.88O,低层（共18层）,南北向,2010年建,嘉秀新苑,丰庄-铜川路2655弄20-1604号, ,798万,60509元/O
"主卧朝南,繁华地段,配套完善,环境优美",2室1厅,67.65O,中层（共6层）,南向,1995年建,金杨一街坊,金杨-居家桥路737弄1-51号,距6号线云山路站约302米,465万,68736元/O
惠南小城 112平3居 南北向精装修,3室2厅,112.14O,低层（共6层）,南北向,2009年建,惠南小城,惠南-盐大路2603号, ,248万,22115元/O
华钜御庭 86平2居 南北向精装修,2室2厅,86.36O,低层（共18层）,南北向,2010年建,华钜御庭,惠南-拱极路2368弄29支弄, ,320万,37054元/O
华钜御庭 91平2居 南北向精装修,2室2厅,91.33O,高层（共18层）,南北向,2010年建,华钜御庭,惠南-拱极路2368弄29支弄, ,345万,37775元/O
金地城 138平3居 南北向精装修,3室2厅,138O,低层（共18层）,南北向,2016年建,金地城,惠南-靖海路547弄,距16号线惠南站约725米,480万,34782元/O
正南绿波城2室2厅精装修,2室2厅,86.9O,中层（共6层）,南向,2006年建,绿波城,唐镇-创新中路399弄,距2号线唐镇站约1041米,455万,52359元/O
电梯房 正南稀缺户型 厨卫两边 诚意出售 看房方便,1室1厅,41.36O,中层（共6层）,南向,1993年建,龙潭小区,阳城-龙潭小区,距7号线大华三路站约352米,294万,71083元/O
"同济朋友的房子,找我便宜,给我20万空间。别人也都联系我!",2室2厅,117.04O,低层（共8层）,南北向,2002年建,环龙公寓,花木-高科西路2907弄,距18号线芳芯路站约167米,800万,68352元/O
绿波城 86平2居 南向精装修,2室2厅,86.57O,低层（共6层）,南向,2006年建,绿波城,唐镇-创新中路399弄,距2号线唐镇站约1041米,435万,50248元/O
"南北通透,环境优美,精装修,品质小区",1室2厅,166.44O,高层（共20层）,南向,2004年建,第九城市,联洋-锦绣路300弄,距9号线芳甸路站约637米,2170万,130377元/O
惠南小城 130平3居 南北向简装修,3室2厅,130.36O,低层（共14层）,南北向,2013年建,惠南小城,惠南-盐大路2603号, ,235万,18027元/O
华钜御庭 86平2居 南北向精装修,2室2厅,86.36O,中层（共18层）,南北向,2010年建,华钜御庭,惠南-拱极路2368弄29支弄, ,320万,37054元/O
1梯2户(超高得房率)板式南北通3房(中心位置)价格可谈,3室2厅,96O,低层（共14层）,南向,1986年建,上海滩大宁城,大宁-上海滩大宁城,距1号线中山北路站约321米,1018万,106041元/O
正南保利金爵公寓2室2厅精装修,2室2厅,90.8O,高层（共14层）,南向,2009年建,保利金爵公寓,唐镇-创新西路300弄,距2号线唐镇站约1196米,740万,81497元/O
惠南小城 82平2居 南北向精装修,2室2厅,82.77O,低层（共6层）,南北向,2005年建,惠南小城,惠南-盐大路2603号, ,203万,24525元/O
"主卧朝南,一梯两户,小区中心位置,得房率高,精装修",2室2厅,91.34O,低层（共6层）,南向,2006年建,绿波城,唐镇-创新中路399弄,距2号线唐镇站约1041米,488万,53426元/O
正南花木绿城锦绣兰庭4室2厅精装修,4室2厅,192.7O,低层（共22层）,南向,2015年建,花木绿城锦绣兰庭,世纪公园-浦建路1399弄,距2号线世纪公园站约844米,2580万,133886元/O
金杨新村七街坊 61.46平2居 南北向简装修 方便看房,2室1厅,61.46O,中层（共6层）,南北向,,金杨新村七街坊,金杨-金杨新村七街坊,距9号线蓝天路站约816米,405万,65896元/O
"川沙96广场旁边新挂牌小区业主诚心卖,价格实惠性价比高!",3室2厅,103O,高层（共4层）,南向,2003年建,川虹新苑,川沙-妙川路1000弄, ,460万,44660元/O
"交通便利,户型正气,近D铁,两房两厅电梯高区",2室2厅,67.64O,高层（共22层）,南向,1997年建,石泉大厦,光新-石泉路49弄,距3号线镇坪路站约601米,452万,66824元/O
有钥匙 动迁无税 一梯两户南北全明三房中间位置诚意出售,3室1厅,72.27O,高层（共6层）,南北向,,金杨三街坊,金杨-金杨三街坊,距6号线云山路站约646米,459万,63511元/O
"捡漏捡漏捡漏 16号线,钥匙房, 一手动迁,房东急售 无纠纷",2室2厅,88.78O,低层（共20层）,南向,2015年建,丝庐雅苑,新场-申江南路7677弄、申江南路7777弄, ,303万,34129元/O
我是业主朋友新挂牌出售真.实.房.源.看房方便!,2室1厅,60O,中层（共6层）,南向,1990年建,新德三村,川沙-华夏东路2110弄, ,228万,38000元/O
陆家嘴朝南滨江兰庭直接入住抄底价!看房方便,2室2厅,138.91O,中层（共24层）,南向,2005年建,滨江兰庭,潍坊-浦城路786弄,距9号线商城路站约1107米,1550万,111583元/O
瑞冬小区 东边套全明 南北两房一厅 采光无遮挡,2室1厅,51.77O,低层（共6层）,南向,1994年建,瑞冬小区,北新泾-瑞冬小区,距2号线北新泾站约841米,374万,72242元/O
北新泾华松小区2室1厅,2室1厅,64.94O,中层（共7层）,南向,1995年建,华淞小区,北新泾-华淞小区,距2号线淞虹路站约881米,400万,61595元/O
长风曹杨三村-杏杨园2室1厅业主诚意出售,2室1厅,48.88O,高层（共6层）,南向,1982年建,曹杨三村,曹杨-曹杨三村305-347号,距11号线(花桥-迪士尼)枫桥路站约896米,352万,72013元/O
"北新泾新泾一村1室1厅,正规一房,精装修",1室1厅,40.15O,中层（共6层）,南向,1983年建,新泾一村,北新泾-新泾一村54-152号,距2号线北新泾站约316米,275万,68493元/O
"馨虹小区正规2室2厅双南双天井,户型方正房龄新",2室2厅,69.46O,低层（共6层）,南向,1995年建,馨虹小区,西郊-淞虹路800弄, ,455万,65505元/O
东边套全明三房一厅|精装修一梯两户|中间位置有钥匙看房随时,2室2厅,72.35O,高层（共6层）,南向,1997年建,红梅小区,北新泾-平塘路415弄2-123号,距2号线淞虹路站约609米,525万,72563元/O
国际华城 三居室【实售】 送产权车位 近地铁 高性价比,3室2厅,165.2O,中层（共32层）,南北向,,陆家嘴国际华城,梅园-张杨路1515弄,距6号线源深体育中心站约339米,2180万,131961元/O
"老房东委托,一梯两户,全明户型",2室1厅,60.24O,低层（共6层）,南北向,,三江小区,龙华-三江路301弄,距1号线漕宝路站约679米,600万,99601元/O
正南百花新村2室1厅精装修,2室1厅,86.13O,中层（共6层）,南向,2007年建,百花新村,周浦-祝家港路155号, ,350万,40636元/O
"原始三房轨交口,双南一北,送超大双天井,一梯两户,看房随时!",3室1厅,76.3O,低层（共6层）,南向,1998年建,香樟苑(普陀),真光-桃浦路1341弄, ,460万,60288元/O
"16号线,小区中心位置,钥匙房,房东急售。",2室2厅,88.77O,低层（共20层）,南向,2012年建,丝庐雅苑,新场-申江南路7677弄、申江南路7777弄, ,303万,34133元/O
"全南户型,一梯两户,近地铁,无税房,简约风格",2室2厅,83.84O,低层（共17层）,南向,2013年建,汇锦城,新场-汇锦城, ,316万,37690元/O
"曹二 双轨交汇15-13线大渡河路,满五自住装修,看房有钥匙",2室1厅,47.31O,中层（共6层）,南向,1982年建,桂巷新村,长风-桂巷新村2-77号,距15号线梅岭北路站约527米,377万,79687元/O
"桂巷新村,满五W一精装修,一房全明户型,产权清晰诚意售房",1室1厅,27.3O,低层（共6层）,南向,1982年建,桂巷新村,长风-桂巷新村2-77号,距15号线梅岭北路站约527米,223万,81684元/O
"小两房,房东诚意出售,产权清晰,到价签字",2室1厅,43.32O,高层（共6层）,南向,1983年建,桂巷新村,长风-桂巷新村2-77号,距15号线梅岭北路站约527米,330万,76177元/O
贵龙园 136平3居 南向精装修,3室2厅,136.6O,中层（共11层）,南向,,贵龙园,塘桥-东方路1669弄、东方路1663弄,距6号线上海儿童医学中心站约443米,1180万,86383元/O
博区 42.94平1居 南向精装修 方便看房,1室1厅,42.94O,低层（共6层）,南向,1995年建,博二小区,金桥-博兴路616弄,距6号线博兴路站约454米,340万,79180元/O
内环+近环球港+南北通透+高额买进税少+送豪华装修+看房随时,3室2厅,130.72O,中层（共31层）,南北向,,绿地世纪城二期,武宁-顺义路100弄,距11号线(花桥-迪士尼)隆德路站约439米,1260万,96389元/O
中山北路曹杨路朝南一室户全明户型总价低景观房,1室1厅,19.4O,高层（共5层）,南北向,,曹杨六村,曹杨-曹杨六村,距11号线(花桥-迪士尼)枫桥路站约510米,158万,81443元/O
天汇广场公寓 152.25平3居 南北向豪华装修 视野无遮挡,3室2厅,152.25O,高层（共18层）,南北向,2012年建,天汇广场公寓,真如-兰溪路900弄,距11号线(花桥-迪士尼)真如站约659米,1298万,85254元/O
周浦明天华城-周星路500弄2室2厅 带车位 满五惟一 精装,2室2厅,90.43O,低层（共18层）,南向,2015年建,明天华城,周浦-周星路500弄、康沈路2262弄,距18号线繁荣路站约995米,500万,55291元/O
"康乐新出朝南一房,带电梯,满五年,采光好,目前出租,看房方便",1室0厅,38.71O,中层（共6层）,南向,1992年建,康乐小区(徐汇),康健-康乐小区(徐汇),距1号线上海南站约765米,345万,89124元/O
"小区中心位置,采光充足,中式风格,得房率高",3室2厅,162.93O,低层（共38层）,南向,2004年建,兆丰嘉园,中山公园-长宁路888号、汇川路300弄,距2号线中山公园站约323米,1912万,117351元/O
"送院子,全明户型,诚意出售,交通便利,浦明,满五年,小区中间",1室1厅,32.63O,低层（共6层）,南向,1985年建,潍坊八村,潍坊-潍坊八村,距6号线浦电路(6号线)站约123米,319万,97762元/O
广洋华景苑 106平2居 南北向精装修,2室2厅,106.27O,中层（共14层）,南北向,2006年建,广洋华景苑,洋泾-张杨路2600弄,距6号线德平路站约582米,1145万,107744元/O
3室2厅+138平+南北通透+精装修+采光好+周边商圈成熟,3室2厅,138.53O,低层（共31层）,南北向,,中关村公寓,真如-曹杨路710弄,距11号线(花桥-迪士尼)枫桥路站约515米,1320万,95286元/O
"小区楼 王+一梯两户+南北通+置换诚意售+出行便利,",2室2厅,105.9O,中层（共24层）,南北向,,江南名庐,武宁-白玉路98弄,距3号线曹杨路站约710米,995万,93956元/O
"主卧朝南,二梯四户,小区中心位置,采光充足",2室2厅,88.78O,中层（共20层）,南向,2015年建,丝庐雅苑,新场-申江南路7677弄、申江南路7777弄, ,305万,34354元/O
"嘉善一手新房,总价110起,近枫南站, 接送",3室2厅,79O,低层（共6层）,南向,2022年建,枫尚学府,嘉兴-嘉善枫南上海之窗智慧科学城, ,70万,8860元/O
